time, dist, vel, acc, Sf, vmin, vmax, tmin, tmax, req_vel, req_acc, T, C0, C1, C2, C3, C4, C5, Fasullo;
0.049, -615, -8.83774e-08, -1.76755e-06, 775, 3, 15, 0, 15, -nan, 0.358295, 8.09477e-319, 0, -8.83774e-08, -1.76755e-06, 7.28178, -4.66034, 0.994205, 1;
0.099, -615, 0.0168886, 0.337774, 775, 3, 15, 0, 15, -nan, 0.705835, 8.09477e-319, 0, 0.0168886, 0.337774, 7.0656, -4.6167, 0.995268, 2;
0.149, -614.998, 0.0552888, 0.768004, 774.998, 3, 15, 0, 15, -nan, 1.03922, 8.09477e-319, 0, 0.0552888, 0.768004, 6.78091, -4.55564, 0.995567, 3;
0.199, -614.995, 0.103258, 0.959393, 774.995, 3, 15, 0, 15, -nan, 1.36637, 8.09477e-319, 0, 0.103258, 0.959393, 6.65578, -4.53443, 0.998067, 4;
0.249, -614.989, 0.109191, 0.118652, 774.989, 3, 15, 0, 15, -nan, 1.72225, 8.09477e-319, 0, 0.109191, 0.118652, 7.23404, -4.68433, 1.00754, 5;
0.299, -614.981, 0.167364, 1.16346, 774.981, 3, 15, 0, 15, -nan, 2.04267, 8.09477e-319, 0, 0.167364, 1.16346, 6.52069, -4.51241, 1.00124, 6;
0.349, -614.966, 0.332098, 3.29467, 774.966, 3, 15, 0, 15, -nan, 2.279, 8.09477e-319, 0, 0.332098, 3.29467, 4.82476, -3.94953, 0.928601, 7;
0.399, -614.945, 0.398991, 1.33786, 774.945, 3, 15, 0, 15, -nan, 2.59497, 8.09477e-319, 0, 0.398991, 1.33786, 6.43241, -4.54477, 1.02251, 8;
0.449, -614.923, 0.48923, 1.80478, 774.923, 3, 15, 0, 15, -nan, 2.89362, 8.09477e-319, 0, 0.48923, 1.80478, 6.08352, -4.45157, 1.01689, 9;
0.499, -614.894, 0.683978, 3.89496, 774.894, 3, 15, 0, 15, -nan, 3.10367, 8.09477e-319, 0, 0.683978, 3.89496, 4.29517, -3.7886, 0.913977, 10;
0.549, -614.858, 0.784719, 2.01482, 774.858, 3, 15, 0, 15, -nan, 3.39564, 8.09477e-319, 0, 0.784719, 2.01482, 5.95058, -4.4716, 1.03842, 11;
