time, dist, vel, acc, Sf, vmin, vmax, tmin, tmax, req_vel, req_acc, T, C0, C1, C2, C3, C4, C5, TL state, Fasullo;
0.049, -110, -8.83774e-08, -1.76755e-06, 775, 3, 15, 0, 15, -nan, 0.358295, 0, 0, -8.83774e-08, -1.76755e-06, 7.28178, -4.66034, 0.994205, 3, 1;
0.099, -110, 0.00414912, 0.0829841, 775, 3, 15, 0, 15, -nan, 0.713989, 0, 0, 0.00414912, 0.0829841, 7.22952, -4.65034, 0.994659, 3, 2;
0.149, -109.999, 0.019836, 0.313737, 774.999, 3, 15, 0, 15, -nan, 1.06236, 0, 0, 0.019836, 0.313737, 7.08232, -4.62157, 0.995762, 3, 3;
0.199, -109.998, 0.0561444, 0.72617, 774.998, 3, 15, 0, 15, -nan, 1.3972, 0, 0, 0.0561444, 0.72617, 6.81029, -4.56372, 0.996227, 3, 4;
0.249, -109.995, 0.0861528, 0.600167, 774.995, 3, 15, 0, 15, -nan, 1.7367, 0, 0, 0.0861528, 0.600167, 6.90437, -4.59697, 1.00127, 3, 5;
0.299, -109.989, 0.233566, 2.94826, 774.989, 3, 15, 0, 15, -nan, 1.98749, 0, 0, 0.233566, 2.94826, 5.1163, -4.0453, 0.940235, 3, 6;
0.349, -109.98, 0.262605, 0.58079, 774.98, 3, 15, 0, 15, -nan, 2.32959, 0, 0, 0.262605, 0.58079, 6.95794, -4.66175, 1.02239, 3, 7;
0.399, -109.969, 0.33669, 1.48169, 774.969, 3, 15, 0, 15, -nan, 2.63963, 0, 0, 0.33669, 1.48169, 6.31238, -4.49105, 1.01159, 3, 8;
0.449, -109.954, 0.449085, 2.24791, 774.954, 3, 15, 0, 15, -nan, 2.92031, 0, 0, 0.449085, 2.24791, 5.72085, -4.3148, 0.994675, 3, 9;
0.499, -109.934, 0.576161, 2.54152, 774.934, 3, 15, 0, 15, -nan, 3.18949, 0, 0, 0.576161, 2.54152, 5.48945, -4.25586, 0.992634, 3, 10;
0.549, -109.908, 0.701735, 2.51147, 774.908, 3, 15, 0, 15, -nan, 3.46046, 0, 0, 0.701735, 2.51147, 5.52602, -4.29548, 1.00593, 3, 11;
0.599, -109.875, 0.823682, 2.43894, 774.875, 3, 15, 0, 15, -nan, 3.73497, 0, 0, 0.823682, 2.43894, 5.59837, -4.34823, 1.02125, 3, 12;
0.649, -109.836, 0.948936, 2.50509, 774.836, 3, 15, 0, 15, -nan, 4.00715, 0, 0, 0.948936, 2.50509, 5.55178, -4.35578, 1.02937, 3, 13;
0.699, -109.787, 1.08943, 2.80982, 774.787, 3, 15, 0, 15, -nan, 4.2665, 0, 0, 1.08943, 2.80982, 5.29346, -4.28021, 1.02368, 3, 14;
0.749, -109.729, 1.25205, 3.25254, 774.729, 3, 15, 0, 15, -nan, 4.50623, 0, 0, 1.25205, 3.25254, 4.89747, -4.144, 1.00647, 3, 15;
0.799, -109.66, 1.43683, 3.69551, 774.66, 3, 15, 0, 15, -nan, 4.7253, 0, 0, 1.43683, 3.69551, 4.48061, -3.99113, 0.984673, 3, 16;
0.849, -109.578, 1.66142, 4.49178, 774.578, 3, 15, 0, 15, -nan, 4.90504, 0, 0, 1.66142, 4.49178, 3.6855, -3.65186, 0.922292, 3, 17;
0.899, -109.483, 1.96589, 6.08945, 774.483, 3, 15, 0, 15, -nan, 4.99924, 0, 0, 1.96589, 6.08945, 1.95345, -2.79869, 0.734938, 3, 18;
